PeakID (cmd=annotatePeaks.pl /home/jerry/Documentos/Python3.10/prueba/datos/Sanchez_et_al_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Sanchez_et_al_peak_1524	chr2	162999822	163000033	+	132	NA	intron (NM_013731, intron 10 of 13)	B3|SINE|B2	8512	NM_001291152	27219	Mm.26462	NM_013731	ENSMUSG00000017868	Sgk2	AI098171|AW146006|Sgkl	serum/glucocorticoid regulated kinase 2	protein-coding
Sanchez_et_al_peak_576	chr12	69301857	69302021	+	132	NA	intron (NM_027117, intron 2 of 12)	intron (NM_027117, intron 2 of 12)	5258	NM_027117	69554	Mm.234368	NM_027117	ENSMUSG00000020978	Klhdc2	2310022K15Rik|D12Ertd522e|HCLP-1|LCP	kelch domain containing 2	protein-coding
Sanchez_et_al_peak_558	chr12	33302096	33302262	+	132	NA	promoter-TSS (NM_001033436)	promoter-TSS (NM_001033436)	-336	NM_001033436	380753	Mm.41540	NM_028139	ENSMUSG00000020564	Atxn7l1	2810423G08Rik|Atxn7l4	ataxin 7-like 1	protein-coding
Sanchez_et_al_peak_895	chr15	76639943	76640077	+	132	NA	promoter-TSS (NM_183091)	promoter-TSS (NM_183091)	-81	NM_183091	72749	Mm.358749	NM_183091	ENSMUSG00000059323	Tonsl	2810439M11Rik|Nfkbil2	tonsoku-like, DNA repair protein	protein-coding
Sanchez_et_al_peak_2648	chr9	118150217	118150418	+	132	NA	promoter-TSS (NM_026442)	promoter-TSS (NM_026442)	86	NR_155294	100502695	Mm.100991	NR_155294	ENSMUSG00000097402	Gm17399	-	predicted gene, 17399	ncRNA
Sanchez_et_al_peak_2318	chr7	110018100	110018292	+	132	NA	promoter-TSS (NM_001362172)	promoter-TSS (NM_001362172)	-119	NM_181517	233726	Mm.222328	NM_181517	ENSMUSG00000066232	Ipo7	A330055O14Rik|C330016G14|Imp7|Ranbp7	importin 7	protein-coding
Sanchez_et_al_peak_1500	chr2	152226449	152226650	+	132	NA	promoter-TSS (NM_007788)	promoter-TSS (NM_007788)	-291	NM_007788	12995	Mm.23692	NM_007788	ENSMUSG00000074698	Csnk2a1	CK2|Csnk2a1-rs4	casein kinase 2, alpha 1 polypeptide	protein-coding
Sanchez_et_al_peak_1336	chr19	45516357	45516588	+	132	NA	intron (NM_001037758, intron 10 of 14)	B4A|SINE|B4	44092	NM_001330507	56626	Mm.46509	NM_020032	ENSMUSG00000025218	Poll	1110003P06Rik|AV007317	polymerase (DNA directed), lambda	protein-coding
Sanchez_et_al_peak_398	chr11	76196315	76196544	+	132	NA	Intergenic	Intergenic	-5627	NM_027773	116972	Mm.188413	NM_027773	ENSMUSG00000069808	Fam57a	2310047D13Rik|4932415L08Rik|5430402E13Rik|5430420K21Rik|Wdt3	family with sequence similarity 57, member A	protein-coding
Sanchez_et_al_peak_1217	chr18	41949218	41949440	+	132	NA	intron (NM_029942, intron 1 of 6)	MTD|LTR|ERVL-MaLR	1865	NM_029942	77619	Mm.30649	NM_029942	ENSMUSG00000056671	Prelid2	1700003A01Rik|C330008K14Rik	PRELI domain containing 2	protein-coding
Sanchez_et_al_peak_744	chr14	21106644	21106811	+	132	NA	intron (NM_134079, intron 3 of 10)	intron (NM_134079, intron 3 of 10)	30575	NM_001243041	11534	Mm.188734	NM_134079	ENSMUSG00000039197	Adk	2310026J05Rik|5033405D03Rik|AI255373|AI987814|Ak	adenosine kinase	protein-coding
Sanchez_et_al_peak_2134	chr6	114993591	114993822	+	132	NA	Intergenic	Intergenic	-24503	NM_001356371	232334	Mm.268357	NM_177683	ENSMUSG00000030315	Vgll4	BC048841|VGL-4	vestigial like family member 4	protein-coding
Sanchez_et_al_peak_284	chr10	127407485	127407660	+	132	NA	intron (NM_001359244, intron 3 of 25)	RSINE1|SINE|B4	-13295	NM_027900	71750	Mm.29342	NM_027900	ENSMUSG00000025404	R3hdm2	1300003K24Rik|AU041262|mKIAA1002	R3H domain containing 2	protein-coding
Sanchez_et_al_peak_2449	chr8	84722966	84723213	+	132	NA	intron (NM_010906, intron 6 of 8)	intron (NM_010906, intron 6 of 8)	21632	NM_008535	17095	Mm.4925	NM_008535	ENSMUSG00000034041	Lyl1	Lyl-1|bHLHa18	lymphoblastomic leukemia 1	protein-coding
Sanchez_et_al_peak_672	chr13	54683383	54683545	+	132	NA	intron (NM_001146025, intron 4 of 10)	intron (NM_001146025, intron 4 of 10)	4344	NM_134064	105239	Mm.25366	NM_134064	ENSMUSG00000034928	Rnf44	AI854545|mKIAA1100	ring finger protein 44	protein-coding
Sanchez_et_al_peak_848	chr15	37246751	37246922	+	132	NA	intron (NM_026496, intron 1 of 15)	intron (NM_026496, intron 1 of 15)	-13677	NR_155441	105245924	Mm.391911	NR_155441	ENSMUSG00000089804	Gm16136	-	predicted gene 16136	ncRNA
Sanchez_et_al_peak_1390	chr2	27246782	27246968	+	132	NA	5' UTR (NM_138665, exon 1 of 21)	5' UTR (NM_138665, exon 1 of 21)	428	NM_138665	192166	Mm.278467	NM_138665	ENSMUSG00000009614	Sardh	-	sarcosine dehydrogenase	protein-coding
Sanchez_et_al_peak_1732	chr4	95738373	95738512	+	132	NA	intron (NM_029347, intron 6 of 10)	intron (NM_029347, intron 6 of 10)	159021	NM_029347	75578	Mm.276098	NM_029347	ENSMUSG00000028573	Fggy	2310009E04Rik	FGGY carbohydrate kinase domain containing	protein-coding
Sanchez_et_al_peak_2379	chr7	141131032	141131263	+	132	NA	promoter-TSS (NM_013782)	promoter-TSS (NM_013782)	-139	NM_013782	27388	Mm.293591	NM_013782	ENSMUSG00000025495	Ptdss2	AI481134|AI988017|PSS2	phosphatidylserine synthase 2	protein-coding
Sanchez_et_al_peak_1927	chr5	115559384	115559596	+	132	NA	promoter-TSS (NM_007475)	promoter-TSS (NM_007475)	23	NM_007475	11837	Mm.5286	NM_007475	ENSMUSG00000067274	Rplp0	36B4|Arbp|L10E	ribosomal protein, large, P0	protein-coding
Sanchez_et_al_peak_1009	chr16	30973521	30973676	+	132	NA	intron (NM_198626, intron 3 of 3)	intron (NM_198626, intron 3 of 3)	107834	NM_198626	268880	Mm.286693	NM_198626	ENSMUSG00000047434	Xxylt1	AI480653	xyloside xylosyltransferase 1	protein-coding
Sanchez_et_al_peak_2337	chr7	117517683	117517853	+	132	NA	intron (NM_175645, intron 2 of 11)	intron (NM_175645, intron 2 of 11)	136789	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
Sanchez_et_al_peak_1866	chr5	44143970	44144170	+	132	NA	Intergenic	Intergenic	-42334	NM_001163577	19126	Mm.6250	NM_008935	ENSMUSG00000029086	Prom1	4932416E19Rik|AC133|CD133|Prom|Prom-1|Proml1	prominin 1	protein-coding
Sanchez_et_al_peak_2069	chr6	70821681	70821922	+	132	NA	Intergenic	Intergenic	-22714	NM_010121	13666	Mm.247167	NM_010121	ENSMUSG00000031668	Eif2ak3	Pek|Perk	eukaryotic translation initiation factor 2 alpha kinase 3	protein-coding
Sanchez_et_al_peak_904	chr15	78869899	78870050	+	132	NA	Intergenic	Intergenic	-7216	NM_145929	106039	Mm.251331	NM_145929	ENSMUSG00000033128	Gga1	4930406E12Rik|AU016030|AW209092	golgi associated, gamma adaptin ear containing, ARF binding protein 1	protein-coding
Sanchez_et_al_peak_1215	chr18	39363849	39364076	+	132	NA	intron (NM_175164, intron 22 of 22)	intron (NM_175164, intron 22 of 22)	125317	NM_008173	14815	Mm.129481	NM_008173	ENSMUSG00000024431	Nr3c1	GR|Grl-1|Grl1	nuclear receptor subfamily 3, group C, member 1	protein-coding
Sanchez_et_al_peak_122	chr1	167262821	167262955	+	132	NA	intron (NM_030724, intron 1 of 6)	intron (NM_030724, intron 1 of 6)	22239	NM_030724	80914	Mm.280895	NM_030724	ENSMUSG00000026558	Uck2	AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk	uridine-cytidine kinase 2	protein-coding
Sanchez_et_al_peak_241	chr10	84622586	84622747	+	132	NA	intron (NM_027423, intron 1 of 27)	CpG	368	NM_027423	70428	Mm.335007	NM_027423	ENSMUSG00000034453	Polr3b	2700078H01Rik|A330032P03Rik|C128|C85372|RPC2	polymerase (RNA) III (DNA directed) polypeptide B	protein-coding
Sanchez_et_al_peak_2314	chr7	101896468	101896680	+	132	NA	intron (NM_001291349, intron 1 of 4)	intron (NM_001291349, intron 1 of 4)	243	NM_027532	75430	Mm.284491	NM_027532	ENSMUSG00000030649	Anapc15	3200002M19Rik|6330414C15Rik|APC15	anaphase prompoting complex C subunit 15	protein-coding
Sanchez_et_al_peak_315	chr11	8653677	8654049	+	132	NA	intron (NM_001083587, intron 1 of 30)	intron (NM_001083587, intron 1 of 30)	10672	NM_001083587	319939	Mm.337820	NM_001083587	ENSMUSG00000020422	Tns3	BC023928|F830010I22Rik|TEM6|Tens1	tensin 3	protein-coding
Sanchez_et_al_peak_1635	chr3	101670552	101670753	+	132	NA	Intergenic	Intergenic	-65945	NM_144900	11928	Mm.193670	NM_144900	ENSMUSG00000033161	Atp1a1	Atpa-1|BC010319	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding
Sanchez_et_al_peak_1742	chr4	109406221	109406405	+	132	NA	promoter-TSS (NM_153392)	promoter-TSS (NM_153392)	-56	NR_131195	102635290	Mm.427859	NR_131195		Ttc39aos1	Gm12750|lincRNA-EPS	Ttc39a opposite strand RNA 1	ncRNA
Sanchez_et_al_peak_1484	chr2	132247817	132247987	+	132	NA	promoter-TSS (NM_027478)	promoter-TSS (NM_027478)	-114	NM_027478	70612	Mm.30116	NM_027478	ENSMUSG00000027341	Tmem230	5730494N06Rik|AA407821	transmembrane protein 230	protein-coding
Sanchez_et_al_peak_992	chr16	18144255	18144474	+	132	NA	intron (NM_022982, intron 1 of 1)	MER58A|DNA|hAT-Charlie	16722	NM_022982	65079	Mm.40149	NM_022982	ENSMUSG00000043811	Rtn4r	NOGOR|NgR|NgR1	reticulon 4 receptor	protein-coding
Sanchez_et_al_peak_1220	chr18	42262041	42262192	+	132	NA	promoter-TSS (NM_134137)	promoter-TSS (NM_134137)	9	NM_134137	107045	Mm.312170	NM_134137	ENSMUSG00000024493	Lars	2310045K21Rik|3110009L02Rik|AW536573|leuRS	leucyl-tRNA synthetase	protein-coding
Sanchez_et_al_peak_1202	chr18	34365098	34365252	+	132	NA	intron (NM_007874, intron 2 of 4)	intron (NM_007874, intron 2 of 4)	8240	NM_007874	13476	Mm.280075	NM_007874	ENSMUSG00000005873	Reep5	AI324241|AU022809|AW495741|DP1/TB2|Dp1|R74856|TB2/DP1	receptor accessory protein 5	protein-coding
Sanchez_et_al_peak_995	chr16	20746770	20747003	+	132	NA	Intergenic	Intergenic	-12375	NM_009379	21832	Mm.3943	NM_009379	ENSMUSG00000022847	Thpo	Mgdf|Ml|Mpllg|Tpo	thrombopoietin	protein-coding
Sanchez_et_al_peak_1527	chr2	164423029	164423182	+	132	NA	Intergenic	Intergenic	-17945	NM_001252563	17183	Mm.29428	NM_013592	ENSMUSG00000016995	Matn4	matrilin-4	matrilin 4	protein-coding
Sanchez_et_al_peak_1316	chr19	37078117	37078286	+	132	NA	intron (NM_198300, intron 7 of 10)	intron (NM_198300, intron 7 of 10)	-95642	NR_045329	319931	Mm.446730	NR_045329	ENSMUSG00000097591	A330032B11Rik	-	RIKEN cDNA A330032B11 gene	ncRNA
Sanchez_et_al_peak_984	chr16	11203153	11203373	+	132	NA	promoter-TSS (NR_038156)	promoter-TSS (NR_038156)	29	NM_025546	66409	Mm.28291	NM_025546	ENSMUSG00000005846	Rsl1d1	2410005K20Rik|C76439|pBK1	ribosomal L1 domain containing 1	protein-coding
Sanchez_et_al_peak_580	chr12	70760852	70761065	+	132	NA	Intergenic	Intergenic	-64556	NM_028127	319710	Mm.2962	NM_028127	ENSMUSG00000048285	Frmd6	2610019M19Rik|4930488L10Rik|AW212977|Willin	FERM domain containing 6	protein-coding
Sanchez_et_al_peak_581	chr12	71136563	71136745	+	132	NA	promoter-TSS (NM_013896)	promoter-TSS (NM_013896)	21	NM_001024853	30056	Mm.207767	NM_013896	ENSMUSG00000021079	Timm9	2810011L15Rik|Tim10a|Timm10	translocase of inner mitochondrial membrane 9	protein-coding
Sanchez_et_al_peak_1882	chr5	66083484	66083688	+	132	NA	intron (NM_178446, intron 2 of 6)	B3|SINE|B2	14593	NM_139065	245945	Mm.36863	NM_139065	ENSMUSG00000070780	Rbm47	9530077J19Rik	RNA binding motif protein 47	protein-coding
Sanchez_et_al_peak_1819	chr4	149571220	149571449	+	132	NA	Intergenic	Intergenic	-15134	NM_023051	65945	Mm.38993	NM_023051	ENSMUSG00000039953	Clstn1	1810034E21Rik|Cst-1|Cstn1	calsyntenin 1	protein-coding
Sanchez_et_al_peak_480	chr11	102408378	102408660	+	132	NA	Intergenic	CpG	-1002	NM_026542	68066	Mm.44226	NM_026542	ENSMUSG00000018677	Slc25a39	3010027G13Rik|D11Ertd333e	solute carrier family 25, member 39	protein-coding
Sanchez_et_al_peak_112	chr1	159386551	159386721	+	132	NA	Intergenic	Intergenic	46278	NR_039543	100628622		NR_039543	ENSMUSG00000105399	Mir1843b	mir-1843b|mmu-mir-1843b	microRNA 1843b	ncRNA
Sanchez_et_al_peak_1190	chr18	6989083	6989424	+	132	NA	intron (NM_177595, intron 5 of 6)	intron (NM_177595, intron 5 of 6)	15526	NM_177595	210719	Mm.257186	NM_177595	ENSMUSG00000061013	Mkx	9430023B20Rik|Irxl1	mohawk homeobox	protein-coding
Sanchez_et_al_peak_1204	chr18	34402292	34402502	+	132	NA	Intergenic	Intergenic	-7026	NM_001163004	53871	Mm.445792	NM_016927	ENSMUSG00000014503	Pkd2l2	TRPP5	polycystic kidney disease 2-like 2	protein-coding
Sanchez_et_al_peak_717	chr13	100730912	100731148	+	132	NA	promoter-TSS (NM_009874)	promoter-TSS (NM_009874)	-88	NM_009874	12572	Mm.259718	NM_009874	ENSMUSG00000069089	Cdk7	AI323415|AI528512|C230069N13|Cdkn7|Crk4	cyclin-dependent kinase 7	protein-coding
Sanchez_et_al_peak_2369	chr7	133140406	133140661	+	132	NA	intron (NR_046279, intron 2 of 2)	RSINE1|SINE|B4	12282	NR_046279	74970	Mm.491044	NR_046279	ENSMUSG00000109816	4930483O08Rik	-	RIKEN cDNA 4930483O08 gene	ncRNA
Sanchez_et_al_peak_2402	chr8	22477396	22477561	+	132	NA	promoter-TSS (NM_001146117)	promoter-TSS (NM_001146117)	-599	NM_001146117	102032	Mm.378231	NM_001012667	ENSMUSG00000031534	Smim19	AI316807|BG694986|EST-c39	small integral membrane protein 19	protein-coding
Sanchez_et_al_peak_1062	chr16	96357985	96358171	+	132	NA	Intergenic	Intergenic	-3679	NM_001177887	72058	Mm.119714	NM_028078	ENSMUSG00000000159	Igsf5	2010003D20Rik|JCAM|Jam4	immunoglobulin superfamily, member 5	protein-coding
Sanchez_et_al_peak_530	chr11	120643670	120643911	+	132	NA	promoter-TSS (NM_001348222)	promoter-TSS (NM_001348222)	-21	NM_001348222	209027	Mm.127731	NM_144795	ENSMUSG00000025140	Pycr1	P5CR 1|P5CR1	pyrroline-5-carboxylate reductase 1	protein-coding
Sanchez_et_al_peak_1776	chr4	133756480	133756684	+	132	NA	5' UTR (NM_001363070, exon 1 of 20)	5' UTR (NM_001363070, exon 1 of 20)	187	NM_001363070	93760	Mm.22478	NM_001080819	ENSMUSG00000007880	Arid1a	1110030E03Rik|BAF250a|Osa1|Smarcf1	AT rich interactive domain 1A (SWI-like)	protein-coding
Sanchez_et_al_peak_2602	chr9	72530252	72530466	+	132	NA	intron (NR_045735, intron 1 of 2)	intron (NR_045735, intron 1 of 2)	1499	NR_045735	75115	Mm.280755	NR_045735	ENSMUSG00000096986	4930509E16Rik	-	RIKEN cDNA 4930509E16 gene	ncRNA
Sanchez_et_al_peak_45	chr1	63730517	63730660	+	132	NA	promoter-TSS (NM_172422)	promoter-TSS (NM_172422)	-37	NM_172422	75619	Mm.30965	NM_172422	ENSMUSG00000025962	Fastkd2	2810421I24Rik	FAST kinase domains 2	protein-coding
Sanchez_et_al_peak_2574	chr9	61808892	61809091	+	132	NA	Intergenic	Intergenic	105519	NM_018853	56040	Mm.3158	NM_018853	ENSMUSG00000007892	Rplp1	2410042H16Rik|Arpp1|C430017H15Rik	ribosomal protein, large, P1	protein-coding
Sanchez_et_al_peak_195	chr10	59974240	59974458	+	132	NA	Intergenic	Intergenic	-22579	NM_029083	74747	Mm.21697	NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|AA415483|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding
Sanchez_et_al_peak_2595	chr9	67816283	67816478	+	132	NA	Intergenic	RLTR11A2|LTR|ERVK	15950	NM_001163143	244911	Mm.325849	NM_001163143	ENSMUSG00000047990	C2cd4a	EG244911|Fam148a	C2 calcium-dependent domain containing 4A	protein-coding
Sanchez_et_al_peak_2584	chr9	65322582	65322752	+	132	NA	exon (NM_011802, exon 11 of 14)	exon (NM_011802, exon 11 of 14)	-23401	NM_016688	50996	Mm.29193	NM_016688	ENSMUSG00000041837	Pdcd7	C80112|ES18	programmed cell death 7	protein-coding
Sanchez_et_al_peak_384	chr11	72441235	72441485	+	132	NA	promoter-TSS (NM_016776)	promoter-TSS (NM_016776)	33	NM_016776	18432	Mm.147946	NM_016776	ENSMUSG00000040463	Mybbp1a	AL024407|AU019902|P160|p160MBP|p67MBP	MYB binding protein (P160) 1a	protein-coding
Sanchez_et_al_peak_1664	chr3	129831076	129831248	+	132	NA	5' UTR (NM_026578, exon 1 of 7)	5' UTR (NM_026578, exon 1 of 7)	234	NM_026578	68147	Mm.24873	NM_026578	ENSMUSG00000028010	Gar1	AA409823|AI326794|C430047J18Rik|Nola1	GAR1 ribonucleoprotein	protein-coding
Sanchez_et_al_peak_592	chr12	76533209	76533377	+	132	NA	promoter-TSS (NR_039597)	promoter-TSS (NR_039597)	-81	NR_039597	100628604		NR_039597	ENSMUSG00000092738	Mir5135	mir-5135|mmu-mir-5135|mu-mir-5135	microRNA 5135	ncRNA
Sanchez_et_al_peak_776	chr14	57664274	57664454	+	132	NA	intron (NM_001368697, intron 1 of 23)	intron (NM_001368697, intron 1 of 23)	874	NM_001368698	57258	Mm.202747	NM_020506	ENSMUSG00000021952	Xpo4	B430309A01Rik|mKIAA1721	exportin 4	protein-coding
Sanchez_et_al_peak_2647	chr9	114934040	114934214	+	132	NA	promoter-TSS (NM_175380)	promoter-TSS (NM_175380)	-140	NM_175380	333433	Mm.38198	NM_175380	ENSMUSG00000050627	Gpd1l	2210409H23Rik|D9Ertd660e	glycerol-3-phosphate dehydrogenase 1-like	protein-coding
Sanchez_et_al_peak_902	chr15	78815386	78815558	+	132	NA	Intergenic	L1MB5|LINE|L1	-12430	NM_130859	105844	Mm.17629	NM_130859	ENSMUSG00000033170	Card10	AI449026|Bimp1|Carma3	caspase recruitment domain family, member 10	protein-coding
Sanchez_et_al_peak_2236	chr7	34224496	34224663	+	132	NA	intron (NM_008155, intron 4 of 17)	RSINE1|SINE|B4	5757	NM_008155	14751	Mm.589	NM_008155	ENSMUSG00000036427	Gpi1	Amf|Gpi|Gpi-1|Gpi-1r|Gpi-1s|Gpi-1t|Gpi1-r|Gpi1-s|Gpi1-t|Gpi1s|MF|NK|NK/GPI|Nlk|Org|Pgi|Phi	glucose phosphate isomerase 1	protein-coding
Sanchez_et_al_peak_175	chr10	40257667	40257939	+	132	NA	promoter-TSS (NR_002842)	promoter-TSS (NR_002842)	-91	NM_026113	67371	Mm.64104	NM_026113	ENSMUSG00000019837	Gtf3c6	2410016F19Rik|AU019813	general transcription factor IIIC, polypeptide 6, alpha	protein-coding
Sanchez_et_al_peak_2	JH584304.1	60008	60297	+	128	NA	NA	NA	NA	NA								
Sanchez_et_al_peak_1377	chr2	19490462	19490688	+	127	NA	intron (NM_027600, intron 10 of 16)	intron (NM_027600, intron 10 of 16)	-43901	NR_131924	102637107	Mm.406835	NR_131924	ENSMUSG00000085388	Ptf1aos	Gm13336	pancreas specific transcription factor 1a, opposite strand	ncRNA
Sanchez_et_al_peak_1990	chr5	148398763	148399340	+	127	NA	intron (NM_007513, intron 1 of 12)	intron (NM_007513, intron 1 of 12)	853	NM_007513	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding
Sanchez_et_al_peak_1045	chr16	87700198	87700407	+	127	NA	intron (NM_007520, intron 1 of 4)	intron (NM_007520, intron 1 of 4)	1348	NM_007520	12013	Mm.26147	NM_007520	ENSMUSG00000025612	Bach1	6230421P05Rik|AI323795	BTB and CNC homology 1, basic leucine zipper transcription factor 1	protein-coding
Sanchez_et_al_peak_802	chr14	76598676	76598859	+	127	NA	Intergenic	Intergenic	-41851	NM_001360048	72661	Mm.320384	NM_001160326	ENSMUSG00000052584	Serp2	2810032E02Rik	stress-associated endoplasmic reticulum protein family member 2	protein-coding
Sanchez_et_al_peak_332	chr11	29171967	29172139	+	127	NA	promoter-TSS (NM_001363361)	promoter-TSS (NM_001363361)	-923	NM_001363358	104570	Mm.276386	NM_134034	ENSMUSG00000020463	Ppp4r3b	AW011752|AW557776|Smek2|mKIAA1387	protein phosphatase 4 regulatory subunit 3B	protein-coding
Sanchez_et_al_peak_965	chr15	101984355	101984553	+	127	NA	Intergenic	Intergenic	19888	NM_031170	16691	Mm.358618	NM_031170	ENSMUSG00000049382	Krt8	AA960620|AL022697|AU019895|Card2|EndoA|K8|Krt-2.8|Krt2-8	keratin 8	protein-coding
Sanchez_et_al_peak_1250	chr18	80237376	80237611	+	127	NA	intron (NM_001136181, intron 1 of 4)	intron (NM_001136181, intron 1 of 4)	9609	NM_001136181	66255	Mm.272341	NM_001136181	ENSMUSG00000078963	Hsbp1l1	1810005K13Rik	heat shock factor binding protein 1-like 1	protein-coding
Sanchez_et_al_peak_2000	chr5	151105044	151105222	+	127	NA	intron (NR_153382, intron 1 of 13)	intron (NR_153382, intron 1 of 13)	85060	NM_001163493	243362	Mm.209272	NM_146258	ENSMUSG00000016128	Stard13	DLC2|GT650	StAR-related lipid transfer (START) domain containing 13	protein-coding
Sanchez_et_al_peak_2126	chr6	99968932	99969160	+	127	NA	Intergenic	Intergenic	-242654	NM_001037539	50501	Mm.87365	NM_015768	ENSMUSG00000030069	Prok2	Bv8|PK2|Prok1	prokineticin 2	protein-coding
Sanchez_et_al_peak_1319	chr19	40588443	40588592	+	127	NA	promoter-TSS (NM_153554)	promoter-TSS (NM_153554)	-54	NM_153554	56454	Mm.233117	NM_019698	ENSMUSG00000025007	Aldh18a1	2810433K04Rik|AI429789|Pycs	aldehyde dehydrogenase 18 family, member A1	protein-coding
Sanchez_et_al_peak_1050	chr16	91441589	91441730	+	127	NA	Intergenic	B3|SINE|B2	-23445	NR_077219	100503120	Mm.387130	NR_077219	ENSMUSG00000084866	A930006K02Rik	-	RIKEN cDNA A930006K02 gene	ncRNA
Sanchez_et_al_peak_2418	chr8	36677866	36678069	+	127	NA	intron (NM_001194940, intron 5 of 17)	intron (NM_001194940, intron 5 of 17)	55087	NM_001194941	50768	Mm.125155	NM_015802	ENSMUSG00000031523	Dlc1	A730069N07Rik|Arhgap7|HP|STARD12|dlc-1	deleted in liver cancer 1	protein-coding
Sanchez_et_al_peak_153	chr10	8715831	8716035	+	126	NA	Intergenic	Intergenic	170137	NM_175155	70097	Mm.338275	NM_175155	ENSMUSG00000015305	Sash1	1100001C18Rik|2500002E12Rik|A330076K04Rik|mKIAA0790	SAM and SH3 domain containing 1	protein-coding
Sanchez_et_al_peak_665	chr13	49682113	49682420	+	122	NA	intron (NM_172015, intron 1 of 33)	CpG	136	NM_172015	105148	Mm.21118	NM_172015	ENSMUSG00000037851	Iars	2510016L12Rik|AI327140|AU044614|E430001P04Rik|ILRS	isoleucine-tRNA synthetase	protein-coding
Sanchez_et_al_peak_119	chr1	164426303	164426501	+	122	NA	intron (NM_138314, intron 13 of 13)	intron (NM_138314, intron 13 of 13)	31953	NM_009721	11931	Mm.4550	NM_009721	ENSMUSG00000026576	Atp1b1	Atp4b|Atpb|Atpb-1|NKbeta1	ATPase, Na+/K+ transporting, beta 1 polypeptide	protein-coding
Sanchez_et_al_peak_1891	chr5	86014779	86014937	+	122	NA	intron (NM_007683, intron 17 of 18)	intron (NM_007683, intron 17 of 18)	50725	NM_001345903	12617	Mm.4649	NM_007683	ENSMUSG00000029253	Cenpc1	CENP-C|Cenpc	centromere protein C1	protein-coding
Sanchez_et_al_peak_154	chr10	12773310	12773527	+	122	NA	intron (NM_011682, intron 1 of 73)	intron (NM_011682, intron 1 of 73)	88317	NM_011682	22288	Mm.331784	NM_011682	ENSMUSG00000019820	Utrn	AA589569|DRP|Dmdl	utrophin	protein-coding
Sanchez_et_al_peak_2642	chr9	111166728	111166991	+	122	NA	intron (NM_027742, intron 4 of 13)	intron (NM_027742, intron 4 of 13)	48748	NM_027742	71268	Mm.302287	NM_027742	ENSMUSG00000032497	Lrrfip2	5133400F20Rik|AI850587	leucine rich repeat (in FLII) interacting protein 2	protein-coding
Sanchez_et_al_peak_2048	chr6	50358201	50358373	+	122	NA	intron (NM_001347213, intron 3 of 23)	intron (NM_001347213, intron 3 of 23)	24550	NM_027881	71720	Mm.44153	NM_027881	ENSMUSG00000029822	Osbpl3	1200014M06Rik|6720421I08Rik|A530055M08|ORP-3|ORP3|OSBP3	oxysterol binding protein-like 3	protein-coding
Sanchez_et_al_peak_2083	chr6	83053102	83053534	+	122	NA	TTS (NM_013586)	TTS (NM_013586)	-1203	NR_125891	11993	Mm.386752	NM_007517	ENSMUSG00000068328	Aup1	AA589454	ancient ubiquitous protein 1	protein-coding
Sanchez_et_al_peak_2269	chr7	63956221	63956440	+	122	NA	Intergenic	Intergenic	-17415	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
Sanchez_et_al_peak_1708	chr4	46389029	46389212	+	122	NA	intron (NM_001347095, intron 1 of 4)	CpG	303	NM_029086	74753	Mm.45973	NM_029086	ENSMUSG00000028331	Trmo	5830415F09Rik|AV014846|Nap1	tRNA methyltransferase O	protein-coding
Sanchez_et_al_peak_2079	chr6	72900495	72900703	+	122	NA	promoter-TSS (NM_019715)	promoter-TSS (NM_019715)	-620	NM_019715	74287	Mm.29194	NM_019715	ENSMUSG00000055239	Kcmf1	1700094M07Rik|Debt91|Pmcf	potassium channel modulatory factor 1	protein-coding
Sanchez_et_al_peak_2330	chr7	112615338	112615616	+	122	NA	Intergenic	Intergenic	-63879	NM_001166585	21676	Mm.24685	NM_009346	ENSMUSG00000055320	Tead1	2610024B07Rik|B230114H05Rik|Gtrgeo5|TEAD-1|TEF-1|Tcf13|mTEF-1	TEA domain family member 1	protein-coding
Sanchez_et_al_peak_941	chr15	90678966	90679155	+	122	NA	intron (NM_001357979, intron 1 of 18)	intron (NM_001357979, intron 1 of 18)	328	NM_001033851	66871	Mm.290991	NM_025815	ENSMUSG00000052560	Cpne8	1200003E11Rik|1500031E20Rik	copine VIII	protein-coding
